"","Taxon","Family","order_new","Year","Clean_code","IUCNName","n"
"1","Acanthophippium striatum","Orchidaceae","Asparagales",2000,"NE","Acanthophippium striatum",0
"2","Acanthophippium striatum","Orchidaceae","Asparagales",2001,"NE","Acanthophippium striatum",0
"3","Acanthophippium striatum","Orchidaceae","Asparagales",2002,"NE","Acanthophippium striatum",0
"4","Acanthophippium striatum","Orchidaceae","Asparagales",2003,"NE","Acanthophippium striatum",41
"5","Acanthophippium striatum","Orchidaceae","Asparagales",2004,"NE","Acanthophippium striatum",0
"6","Acanthophippium striatum","Orchidaceae","Asparagales",2005,"NE","Acanthophippium striatum",0
"7","Acanthophippium striatum","Orchidaceae","Asparagales",2006,"NE","Acanthophippium striatum",0
"8","Acanthophippium striatum","Orchidaceae","Asparagales",2007,"NE","Acanthophippium striatum",0
"9","Acanthophippium striatum","Orchidaceae","Asparagales",2008,"NE","Acanthophippium striatum",0
"10","Acanthophippium striatum","Orchidaceae","Asparagales",2009,"NE","Acanthophippium striatum",0
"11","Acanthophippium striatum","Orchidaceae","Asparagales",2010,"NE","Acanthophippium striatum",0
"12","Acanthophippium striatum","Orchidaceae","Asparagales",2011,"NE","Acanthophippium striatum",0
"13","Acanthophippium striatum","Orchidaceae","Asparagales",2012,"NE","Acanthophippium striatum",0
"14","Acanthophippium striatum","Orchidaceae","Asparagales",2013,"NE","Acanthophippium striatum",0
"15","Acanthophippium striatum","Orchidaceae","Asparagales",2014,"NE","Acanthophippium striatum",0
"16","Acanthophippium striatum","Orchidaceae","Asparagales",2015,"NE","Acanthophippium striatum",0
"17","Acanthophippium striatum","Orchidaceae","Asparagales",2016,"NE","Acanthophippium striatum",0
"18","Acanthophippium striatum","Orchidaceae","Asparagales",2017,"NE","Acanthophippium striatum",0
"19","Acanthophippium striatum","Orchidaceae","Asparagales",2018,"NE","Acanthophippium striatum",0
"20","Acanthophippium striatum","Orchidaceae","Asparagales",2019,"NE","Acanthophippium striatum",0
"21","Acanthophippium striatum","Orchidaceae","Asparagales",2020,"NE","Acanthophippium striatum",0
"22","Acianthera miqueliana","Orchidaceae","Asparagales",2000,"NE","Acianthera miqueliana",0
"23","Acianthera miqueliana","Orchidaceae","Asparagales",2001,"NE","Acianthera miqueliana",0
"24","Acianthera miqueliana","Orchidaceae","Asparagales",2002,"NE","Acianthera miqueliana",0
"25","Acianthera miqueliana","Orchidaceae","Asparagales",2003,"NE","Acianthera miqueliana",0
"26","Acianthera miqueliana","Orchidaceae","Asparagales",2004,"NE","Acianthera miqueliana",0
"27","Acianthera miqueliana","Orchidaceae","Asparagales",2005,"NE","Acianthera miqueliana",0
"28","Acianthera miqueliana","Orchidaceae","Asparagales",2006,"NE","Acianthera miqueliana",0
"29","Acianthera miqueliana","Orchidaceae","Asparagales",2007,"NE","Acianthera miqueliana",0
"30","Acianthera miqueliana","Orchidaceae","Asparagales",2008,"NE","Acianthera miqueliana",0
"31","Acianthera miqueliana","Orchidaceae","Asparagales",2009,"NE","Acianthera miqueliana",0
"32","Acianthera miqueliana","Orchidaceae","Asparagales",2010,"NE","Acianthera miqueliana",0
