"","Family","Taxon","Order","Importer","Exporter","Year","n","Clean_code","IUCNName","order_new","CITES order","Number of plants traded","analysis"
"1","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2016,2244685,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"2","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2010,4684840,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"3","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2006,2e+06,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"4","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2009,5921720,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"5","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2018,1e+06,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"6","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2007,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"7","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2011,4244685,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"8","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2008,3136004,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"9","Amaryllidaceae","Galanthus elwesii","Liliales","CH","TR",2008,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"10","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2019,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"11","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2015,4244685,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"12","Amaryllidaceae","Galanthus elwesii","Liliales","CH","TR",2015,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
