"","Taxon","Family","Order","Importer","Exporter","Year","n"
"1","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2000,0
"2","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2001,0
"3","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2002,0
"4","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2003,20
"5","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2004,0
"6","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2005,0
"7","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2006,0
"8","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2007,0
"9","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2008,0
"10","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2009,0
"11","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2010,0
"12","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2011,0
"13","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2012,0
"14","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2013,0
"15","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2014,0
"16","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2015,0
"17","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2016,0
"18","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2017,0
"19","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2018,0
"20","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2019,0
"21","Acanthophippium striatum","Orchidaceae","Orchidales","DE","VN",2020,0
"22","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2000,0
"23","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2001,0
"24","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2002,0
"25","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2003,21
"26","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2004,0
"27","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2005,0
"28","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2006,0
"29","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2007,0
"30","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2008,0
"31","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2009,0
"32","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2010,0
"33","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2011,0
"34","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2012,0
"35","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2013,0
"36","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2014,0
"37","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2015,0
"38","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2016,0
"39","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2017,0
"40","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2018,0
"41","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2019,0
"42","Acanthophippium striatum","Orchidaceae","Orchidales","US","VN",2020,0
"43","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2000,0
"44","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2001,0
"45","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2002,0
"46","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2003,0
"47","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2004,0
"48","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2005,0
"49","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2006,0
"50","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2007,0
"51","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2008,0
"52","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2009,0
"53","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2010,0
"54","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2011,0
"55","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2012,0
"56","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2013,0
"57","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2014,0
"58","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2015,0
"59","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2016,2
"60","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2017,0
"61","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2018,0
"62","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2019,0
"63","Acianthera miqueliana","Orchidaceae","Orchidales","US","DO",2020,0
"64","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2000,0
"65","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2001,0
"66","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2002,22
"67","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2003,0
"68","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2004,29
"69","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2005,0
"70","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2006,0
"71","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2007,0
"72","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2008,0
"73","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2009,0
"74","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2010,0
"75","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2011,0
"76","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2012,0
"77","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2013,0
"78","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2014,0
"79","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2015,0
"80","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2016,0
"81","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2017,0
"82","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2018,0
"83","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2019,0
"84","Acianthera tikalensis","Orchidaceae","Orchidales","US","BZ",2020,0
"85","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2000,0
"86","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2001,0
"87","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2002,0
"88","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2003,7
"89","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2004,0
"90","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2005,0
"91","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2006,0
"92","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2007,0
"93","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2008,0
"94","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2009,0
"95","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2010,0
"96","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2011,0
"97","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2012,0
"98","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2013,0
"99","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2014,0
"100","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2015,0
"101","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2016,0
"102","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2017,0
"103","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2018,0
"104","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2019,0
"105","Acriopsis indica","Orchidaceae","Orchidales","US","VN",2020,0
"106","Adenia firingalavensis","Passifloraceae","Violales","DE","MG",2013,0
"107","Adenia firingalavensis","Passifloraceae","Violales","DE","MG",2014,1
"108","Adenia firingalavensis","Passifloraceae","Violales","DE","MG",2015,0
"109","Adenia firingalavensis","Passifloraceae","Violales","DE","MG",2016,0
"110","Adenia firingalavensis","Passifloraceae","Violales","DE","MG",2017,0
"111","Adenia firingalavensis","Passifloraceae","Violales","DE","MG",2018,0
"112","Adenia firingalavensis","Passifloraceae","Violales","DE","MG",2019,0
"113","Adenia firingalavensis","Passifloraceae","Violales","DE","MG",2020,0
"114","Adenia firingalavensis","Passifloraceae","Violales","HK","MG",2013,0
"115","Adenia firingalavensis","Passifloraceae","Violales","HK","MG",2014,0
"116","Adenia firingalavensis","Passifloraceae","Violales","HK","MG",2015,0
"117","Adenia firingalavensis","Passifloraceae","Violales","HK","MG",2016,10
"118","Adenia firingalavensis","Passifloraceae","Violales","HK","MG",2017,0
"119","Adenia firingalavensis","Passifloraceae","Violales","HK","MG",2018,0
"120","Adenia firingalavensis","Passifloraceae","Violales","HK","MG",2019,0
"121","Adenia firingalavensis","Passifloraceae","Violales","HK","MG",2020,0
"122","Adenia firingalavensis","Passifloraceae","Violales","JP","MG",2013,0
"123","Adenia firingalavensis","Passifloraceae","Violales","JP","MG",2014,0
"124","Adenia firingalavensis","Passifloraceae","Violales","JP","MG",2015,0
"125","Adenia firingalavensis","Passifloraceae","Violales","JP","MG",2016,40
"126","Adenia firingalavensis","Passifloraceae","Violales","JP","MG",2017,0
"127","Adenia firingalavensis","Passifloraceae","Violales","JP","MG",2018,0
"128","Adenia firingalavensis","Passifloraceae","Violales","JP","MG",2019,0
"129","Adenia firingalavensis","Passifloraceae","Violales","JP","MG",2020,0
"130","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2010,0
"131","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2011,0
"132","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2012,0
"133","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2013,0
"134","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2014,0
"135","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2015,0
"136","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2016,20
"137","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2017,0
"138","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2018,0
"139","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2019,0
"140","Adenia olaboensis","Passifloraceae","Violales","JP","MG",2020,0
"141","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2000,0
"142","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2001,0
"143","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2002,0
"144","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2003,0
"145","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2004,0
"146","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2005,0
"147","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2006,0
"148","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2007,0
"149","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2008,15
"150","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2009,0
"151","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2010,0
"152","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2011,0
"153","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2012,0
"154","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2013,0
"155","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2014,0
"156","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2015,0
