"","Id","Year","Appendix","Taxon","Class","Order","Family","Genus","Term","Quantity","Unit","Importer","Exporter","Origin","Purpose","Source","Reporter.type","Import.permit.RandomID","Export.permit.RandomID","Origin.permit.RandomID","WildSource","PurposeC","Factor","WOE","FL_year","Year_DEL","ChangeType"
"1",2131499410,2012,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",10,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,10,"2005","2020",NA
"2",6054868210,2012,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",100,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,100,"2005","2020",NA
"3",9379564110,2012,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",100,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,100,"2005","2020",NA
"4",2445257910,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",300,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,300,"2005","2020",NA
"5",1672321810,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",750,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,750,"2005","2020",NA
"6",1359322710,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",1000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,1000,"2005","2020",NA
"7",1200531510,2012,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",1000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,1000,"2005","2020",NA
"8",9631597810,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",1500,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,1500,"2005","2020",NA
"9",1538677110,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",2000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,2000,"2005","2020",NA
"10",7241873510,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",2000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,2000,"2005","2020",NA
"11",8108678310,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",2000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,2000,"2005","2020",NA
"12",1712043410,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",2000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,2000,"2005","2020",NA
"13",2125985010,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",2000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,2000,"2005","2020",NA
"14",3001371810,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",2000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,2000,"2005","2020",NA
"15",6015954410,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",2000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,2000,"2005","2020",NA
"16",4682772010,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",2000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,2000,"2005","2020",NA
"17",3792999510,2012,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",2000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,2000,"2005","2020",NA
"18",4059065810,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",2500,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,2500,"2005","2020",NA
"19",1599501210,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",4000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,4000,"2005","2020",NA
"20",9609102410,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",5000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,5000,"2005","2020",NA
"21",5024970610,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",5000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,5000,"2005","2020",NA
"22",6613732410,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",10000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,10000,"2005","2020",NA
"23",6606042410,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",10000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,10000,"2005","2020",NA
"24",7316510010,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",20000,NA,"BN","MY",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,20000,"2005","2020",NA
"25",8486361710,2011,"II","Aquilaria subintegra",NA,"Myrtales","Thymelaeaceae","Aquilaria","live",20000,NA,"BN","TH",NA,"T","W","I",NA,NA,NA,"Yes","Commercial",1,20000,"2005","2020",NA
"26",2515931810,2011,"II","Carnegiea gigantea",NA,"Caryophyllales","Cactaceae","Carnegiea","live",2,NA,"AT","US",NA,"T","W","I","7266d14e6f","f56c4c944f",NA,"Yes","Commercial",1,2,"1975","2020",NA
"27",7886289810,2011,"II","Corryocactus brevistylus",NA,"Caryophyllales","Cactaceae","Corryocactus","stems",60,NA,"NL","PE",NA,"T","W","I","519fabdb9f","e9991928c1",NA,"Yes","Commercial",1,60,"1975","2020",NA
"28",4684930610,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",22000,NA,"NL","TR",NA,"T","W","I","b43635e06f","d1e54c3f3d",NA,"Yes","Commercial",1,22000,"1975","2020",NA
"29",2901108010,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",25000,NA,"NL","TR",NA,"T","W","I","1e5b6e817a","3a0a2b08f7",NA,"Yes","Commercial",1,25000,"1975","2020",NA
"30",3573479010,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",42780,NA,"NL","TR",NA,"T","W","I","feaf5a58c6","36119b5edf",NA,"Yes","Commercial",1,42780,"1975","2020",NA
"31",5370809010,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",96160,NA,"NL","TR",NA,"T","W","I","49f0f92528","de2975b55a",NA,"Yes","Commercial",1,96160,"1975","2020",NA
"32",4959358010,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",13740,NA,"NL","TR",NA,"T","W","I","7cfd0b46d0","6b0be4ea58",NA,"Yes","Commercial",1,13740,"1975","2020",NA
"33",9987431210,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",16515,NA,"NL","TR",NA,"T","W","I","7e4d418d30","161941216c",NA,"Yes","Commercial",1,16515,"1975","2020",NA
"34",9132775910,2011,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","roots",17000,NA,"NL","TR",NA,"T","W","I","43db64d62e","3206bb30a4",NA,"Yes","Commercial",1,17000,"1975","2020",NA
"35",5242357210,2012,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","live",25000,NA,"NL","TR",NA,"T","W","I","b38e6fe55f","172aa6f2ef",NA,"Yes","Commercial",1,25000,"1975","2020",NA
"36",5711576910,2012,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","live",32620,NA,"NL","TR",NA,"T","W","I","c9fd80d46b","88928940b9",NA,"Yes","Commercial",1,32620,"1975","2020",NA
"37",5671210010,2012,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","live",40740,NA,"NL","TR",NA,"T","W","I","65708748f3","bceb6eb486",NA,"Yes","Commercial",1,40740,"1975","2020",NA
"38",5128927610,2012,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","live",2590,NA,"NL","TR",NA,"T","W","I","f2e016d107","8d15b9dc37",NA,"Yes","Commercial",1,2590,"1975","2020",NA
"39",1517499910,2012,"II","Cyclamen coum",NA,"Primulales","Primulaceae","Cyclamen","live",16515,NA,"NL","TR",NA,"T","W","I","7e4d418d30","161941216c",NA,"Yes","Commercial",1,16515,"1975","2020",NA
"40",9807224210,2012,"II","Cyphostemma montagnacii",NA,"Rhamnales","Vitaceae","Cyphostemma","live",7,NA,"ES","MG",NA,"T","W","I",NA,"068d0172cf",NA,"Yes","Commercial",1,7,"2010","2020",NA
"41",8850433310,2011,"II","Echinopsis chiloensis",NA,"Caryophyllales","Cactaceae","Echinopsis","stems",300,NA,"BE","CL",NA,"T","W","I",NA,"b50a95935e",NA,"Yes","Commercial",1,300,"1975","2020",NA
"42",7302119810,2012,"II","Eulychnia acida",NA,"Caryophyllales","Cactaceae","Eulychnia","stems",2724,NA,"FR","CL",NA,"T","W","I","82a62001bd","97b8193e32",NA,"Yes","Commercial",1,2724,"1975","2020",NA
"43",4428365210,2012,"II","Eulychnia acida",NA,"Caryophyllales","Cactaceae","Eulychnia","stems",300,NA,"GB","CL",NA,"T","W","I","e6a8176d23",NA,NA,"Yes","Commercial",1,300,"1975","2020",NA
"44",1467554610,2012,"II","Eulychnia acida",NA,"Caryophyllales","Cactaceae","Eulychnia","stems",1000,NA,"GB","CL",NA,"T","W","I","be73ff02f6","a14086c5b7",NA,"Yes","Commercial",1,1000,"1975","2020",NA
"45",1852267310,2012,"II","Eulychnia acida",NA,"Caryophyllales","Cactaceae","Eulychnia","stems",2620,NA,"GB","CL",NA,"T","W","I","69692d4a2f",NA,NA,"Yes","Commercial",1,2620,"1975","2020",NA
"46",9364108810,2011,"II","Euphorbia guillauminiana",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",170,NA,"US","MG",NA,"T","W","I",NA,"e5c1e20bcf",NA,"Yes","Commercial",1,170,"1975","2020",NA
"47",9839533010,2011,"II","Euphorbia guillauminiana",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",10,NA,"JP","MG",NA,"T","W","I",NA,"35bfbfbce2",NA,"Yes","Commercial",1,10,"1975","2020",NA
"48",9866928210,2011,"II","Euphorbia itremensis",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",30,NA,"US","MG",NA,"T","W","I",NA,"966e044be5",NA,"Yes","Commercial",1,30,"1975","2020",NA
"49",4427442610,2011,"II","Euphorbia itremensis",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",50,NA,"US","MG",NA,"T","W","I",NA,"4b2d3fcdd9",NA,"Yes","Commercial",1,50,"1975","2020",NA
"50",8966189110,2012,"II","Euphorbia itremensis",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",100,NA,"DE","MG",NA,"T","W","I","9fa8d674af",NA,NA,"Yes","Commercial",1,100,"1975","2020",NA
"51",5200878210,2011,"II","Euphorbia meridionalis",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",50,NA,"JP","MG",NA,"T","W","I",NA,"dfbc6190bf",NA,"Yes","Commercial",1,50,"1975","2020",NA
"52",5783262610,2012,"II","Euphorbia pedilanthoides",NA,"Euphorbiales","Euphorbiaceae","Euphorbia","live",50,NA,"DE","MG",NA,"T","W","I","9fa8d674af",NA,NA,"Yes","Commercial",1,50,"1975","2020",NA
