"","IUCNName","Year","IUCN_code","IUCN_cat","Taxon"
"1","Acanthophippium striatum",,,,"Acanthophippium striatum"
"2","Acianthera miqueliana",,,,"Acianthera miqueliana"
"3","Acianthera tikalensis",,,,"Acianthera tikalensis"
"4","Acriopsis indica",,,,"Acriopsis indica"
"5","Adenia firingalavensis",,,,"Adenia firingalavensis"
"6","Adenia olaboensis",,,,"Adenia olaboensis"
"7","Aerangis articulata",,,,"Aerangis articulata"
"8","Aerangis citrata",,,,"Aerangis citrata"
"9","Aerangis cryptodon",,,,"Aerangis cryptodon"
"10","Aerangis curnowiana",,,,"Aerangis curnowiana"
"11","Aerangis decaryana",,,,"Aerangis decaryana"
"12","Aerangis ellisii",,,,"Aerangis ellisii"
"13","Aerangis fastuosa",,,,"Aerangis fastuosa"
"14","Aerangis fuscata",,,,"Aerangis fuscata"
"15","Aerangis hyaloides","2019","VU","Vulnerable","Aerangis hyaloides"
"16","Aerangis macrocentra","2016","NT","Near Threatened","Aerangis macrocentra"
"17","Aerangis modesta",,,,"Aerangis modesta"
"18","Aerangis pallidiflora","2019","VU","Vulnerable","Aerangis pallidiflora"
"19","Aerangis punctata","2019","NT","Near Threatened","Aerangis punctata"
"20","Aerangis stylosa",,,,"Aerangis stylosa"
"21","Aeranthes arachnites",,,,"Aeranthes arachnites"
"22","Aeranthes grandiflora",,,,"Aeranthes grandiflora"
"23","Aeranthes nidus",,,,"Aeranthes nidus"
"24","Aeranthes peyrotii","2021","LC","Least Concern","Aeranthes peyrotii"
"25","Aeranthes ramosa",,,,"Aeranthes ramosa"
"26","Aerides crassifolia",,,,"Aerides crassifolia"
"27","Aerides falcata",,,,"Aerides falcata"
"28","Aerides multiflora",,,,"Aerides multiflora"
"29","Aerides odorata",,,,"Aerides odorata"
"30","Aerides rubescens",,,,"Aerides rubescens"
"31","Alluaudia comosa","2019","VU","Vulnerable","Alluaudia comosa"
"32","Alluaudia procera","2019","LC","Least Concern","Alluaudia procera"
"33","Alluaudia procera","1998","nt","Not Threatened","Alluaudia procera"
"34","Alluaudia procera","1998","LR/nt","Lower Risk/near threatened","Alluaudia procera"
"35","Alluaudiopsis fiherenensis","2019","VU","Vulnerable","Alluaudiopsis fiherenensis"
"36","Aloe antandroi","2020","VU","Vulnerable","Aloe antandroi"
"37","Aloe arborescens","2019","LC","Least Concern","Aloe arborescens"
"38","Aloe aristata",,,,"Aloe aristata"
"39","Aloe barberae",,,,"Aloe barberae"
