"","Taxon","Family","Order","Year","Clean_code","IUCNName","mass"
"1","Adonis vernalis","Ranunculaceae","Ranunculales",2000,"NE","Adonis vernalis",0
"2","Adonis vernalis","Ranunculaceae","Ranunculales",2001,"NE","Adonis vernalis",0
"3","Adonis vernalis","Ranunculaceae","Ranunculales",2002,"NE","Adonis vernalis",0
"4","Adonis vernalis","Ranunculaceae","Ranunculales",2003,"NE","Adonis vernalis",0
"5","Adonis vernalis","Ranunculaceae","Ranunculales",2004,"NE","Adonis vernalis",5384
"6","Adonis vernalis","Ranunculaceae","Ranunculales",2005,"NE","Adonis vernalis",4710
"7","Adonis vernalis","Ranunculaceae","Ranunculales",2006,"NE","Adonis vernalis",55
"8","Adonis vernalis","Ranunculaceae","Ranunculales",2007,"NE","Adonis vernalis",0
"9","Adonis vernalis","Ranunculaceae","Ranunculales",2008,"NE","Adonis vernalis",0
"10","Adonis vernalis","Ranunculaceae","Ranunculales",2009,"NE","Adonis vernalis",0
"11","Adonis vernalis","Ranunculaceae","Ranunculales",2010,"NE","Adonis vernalis",0
"12","Adonis vernalis","Ranunculaceae","Ranunculales",2011,"LC","Adonis vernalis",0
"13","Adonis vernalis","Ranunculaceae","Ranunculales",2012,"LC","Adonis vernalis",0
"14","Adonis vernalis","Ranunculaceae","Ranunculales",2013,"LC","Adonis vernalis",0
"15","Adonis vernalis","Ranunculaceae","Ranunculales",2014,"LC","Adonis vernalis",0
"16","Adonis vernalis","Ranunculaceae","Ranunculales",2015,"LC","Adonis vernalis",0
"17","Adonis vernalis","Ranunculaceae","Ranunculales",2016,"LC","Adonis vernalis",0
"18","Adonis vernalis","Ranunculaceae","Ranunculales",2017,"LC","Adonis vernalis",0
"19","Adonis vernalis","Ranunculaceae","Ranunculales",2018,"LC","Adonis vernalis",0
"20","Adonis vernalis","Ranunculaceae","Ranunculales",2019,"LC","Adonis vernalis",0
"21","Adonis vernalis","Ranunculaceae","Ranunculales",2020,"LC","Adonis vernalis",0
"22","Aloe arborescens","Liliaceae","Liliales",2000,"NE","Aloe arborescens",0
"23","Aloe arborescens","Liliaceae","Liliales",2001,"NE","Aloe arborescens",0
"24","Aloe arborescens","Liliaceae","Liliales",2002,"NE","Aloe arborescens",0
"25","Aloe arborescens","Liliaceae","Liliales",2003,"NE","Aloe arborescens",79438
"26","Aloe arborescens","Liliaceae","Liliales",2004,"NE","Aloe arborescens",0
"27","Aloe arborescens","Liliaceae","Liliales",2005,"NE","Aloe arborescens",0
"28","Aloe arborescens","Liliaceae","Liliales",2006,"NE","Aloe arborescens",0
"29","Aloe arborescens","Liliaceae","Liliales",2007,"NE","Aloe arborescens",0
"30","Aloe arborescens","Liliaceae","Liliales",2008,"NE","Aloe arborescens",0
"31","Aloe arborescens","Liliaceae","Liliales",2009,"NE","Aloe arborescens",0
"32","Aloe arborescens","Liliaceae","Liliales",2010,"NE","Aloe arborescens",0
"33","Aloe arborescens","Liliaceae","Liliales",2011,"NE","Aloe arborescens",1500
"34","Aloe arborescens","Liliaceae","Liliales",2012,"NE","Aloe arborescens",40
"35","Aloe arborescens","Liliaceae","Liliales",2013,"NE","Aloe arborescens",5
"36","Aloe arborescens","Liliaceae","Liliales",2014,"NE","Aloe arborescens",0
"37","Aloe arborescens","Liliaceae","Liliales",2015,"NE","Aloe arborescens",1000
"38","Aloe arborescens","Liliaceae","Liliales",2016,"NE","Aloe arborescens",27580
"39","Aloe arborescens","Liliaceae","Liliales",2017,"NE","Aloe arborescens",0.002
"40","Aloe arborescens","Liliaceae","Liliales",2018,"NE","Aloe arborescens",13600
"41","Aloe arborescens","Liliaceae","Liliales",2019,"LC","Aloe arborescens",0
"42","Aloe arborescens","Liliaceae","Liliales",2020,"LC","Aloe arborescens",7000
"43","Aloe ellenbeckii","Liliaceae","Liliales",2000,"NE","Aloe ellenbeckii",40000
"44","Aloe ellenbeckii","Liliaceae","Liliales",2001,"NE","Aloe ellenbeckii",66875
"45","Aloe ellenbeckii","Liliaceae","Liliales",2002,"NE","Aloe ellenbeckii",0
"46","Aloe ellenbeckii","Liliaceae","Liliales",2003,"NE","Aloe ellenbeckii",0
"47","Aloe ellenbeckii","Liliaceae","Liliales",2004,"NE","Aloe ellenbeckii",0
"48","Aloe ellenbeckii","Liliaceae","Liliales",2005,"NE","Aloe ellenbeckii",0
"49","Aloe ellenbeckii","Liliaceae","Liliales",2006,"NE","Aloe ellenbeckii",0
"50","Aloe ellenbeckii","Liliaceae","Liliales",2007,"NE","Aloe ellenbeckii",0
"51","Aloe ellenbeckii","Liliaceae","Liliales",2008,"NE","Aloe ellenbeckii",0
"52","Aloe ellenbeckii","Liliaceae","Liliales",2009,"NE","Aloe ellenbeckii",0
"53","Aloe ellenbeckii","Liliaceae","Liliales",2010,"NE","Aloe ellenbeckii",0
"54","Aloe ellenbeckii","Liliaceae","Liliales",2011,"NE","Aloe ellenbeckii",0
"55","Aloe ellenbeckii","Liliaceae","Liliales",2012,"NE","Aloe ellenbeckii",0
"56","Aloe ellenbeckii","Liliaceae","Liliales",2013,"LC","Aloe ellenbeckii",0
"57","Aloe ellenbeckii","Liliaceae","Liliales",2014,"LC","Aloe ellenbeckii",0
"58","Aloe ellenbeckii","Liliaceae","Liliales",2015,"LC","Aloe ellenbeckii",0
"59","Aloe ellenbeckii","Liliaceae","Liliales",2016,"LC","Aloe ellenbeckii",0
"60","Aloe ellenbeckii","Liliaceae","Liliales",2017,"LC","Aloe ellenbeckii",0
"61","Aloe ellenbeckii","Liliaceae","Liliales",2018,"LC","Aloe ellenbeckii",0
"62","Aloe ellenbeckii","Liliaceae","Liliales",2019,"LC","Aloe ellenbeckii",0
"63","Aloe ellenbeckii","Liliaceae","Liliales",2020,"LC","Aloe ellenbeckii",0
"64","Aloe ferox","Liliaceae","Liliales",2000,"NE","Aloe ferox",169355
"65","Aloe ferox","Liliaceae","Liliales",2001,"NE","Aloe ferox",176842
"66","Aloe ferox","Liliaceae","Liliales",2002,"NE","Aloe ferox",171692
"67","Aloe ferox","Liliaceae","Liliales",2003,"NE","Aloe ferox",165836.3
"68","Aloe ferox","Liliaceae","Liliales",2004,"NE","Aloe ferox",154194.3
"69","Aloe ferox","Liliaceae","Liliales",2005,"NE","Aloe ferox",213285.38
"70","Aloe ferox","Liliaceae","Liliales",2006,"NE","Aloe ferox",179361.67
"71","Aloe ferox","Liliaceae","Liliales",2007,"NE","Aloe ferox",209993.9
"72","Aloe ferox","Liliaceae","Liliales",2008,"NE","Aloe ferox",198198.6
"73","Aloe ferox","Liliaceae","Liliales",2009,"NE","Aloe ferox",341743.5
"74","Aloe ferox","Liliaceae","Liliales",2010,"NE","Aloe ferox",206178.06509
"75","Aloe ferox","Liliaceae","Liliales",2011,"NE","Aloe ferox",153879.32
"76","Aloe ferox","Liliaceae","Liliales",2012,"NE","Aloe ferox",295957.795
"77","Aloe ferox","Liliaceae","Liliales",2013,"NE","Aloe ferox",426326.126
"78","Aloe ferox","Liliaceae","Liliales",2014,"NE","Aloe ferox",183097.32
"79","Aloe ferox","Liliaceae","Liliales",2015,"NE","Aloe ferox",463794.608
"80","Aloe ferox","Liliaceae","Liliales",2016,"NE","Aloe ferox",315210.85
