"","Taxon","Family","Order","Importer","Exporter","Year","mass","Clean_code","IUCNName"
"1","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2000,0,"NE","Adonis vernalis"
"2","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2001,0,"NE","Adonis vernalis"
"3","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2002,0,"NE","Adonis vernalis"
"4","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2003,0,"NE","Adonis vernalis"
"5","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2004,5384,"NE","Adonis vernalis"
"6","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2005,0,"NE","Adonis vernalis"
"7","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2006,55,"NE","Adonis vernalis"
"8","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2007,0,"NE","Adonis vernalis"
"9","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2008,0,"NE","Adonis vernalis"
"10","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2009,0,"NE","Adonis vernalis"
"11","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2010,0,"NE","Adonis vernalis"
"12","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2011,0,"LC","Adonis vernalis"
"13","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2012,0,"LC","Adonis vernalis"
"14","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2013,0,"LC","Adonis vernalis"
"15","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2014,0,"LC","Adonis vernalis"
"16","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2015,0,"LC","Adonis vernalis"
"17","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2016,0,"LC","Adonis vernalis"
"18","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2017,0,"LC","Adonis vernalis"
"19","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2018,0,"LC","Adonis vernalis"
"20","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2019,0,"LC","Adonis vernalis"
"21","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2020,0,"LC","Adonis vernalis"
"22","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2000,0,"NE","Adonis vernalis"
"23","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2001,0,"NE","Adonis vernalis"
"24","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2002,0,"NE","Adonis vernalis"
"25","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2003,0,"NE","Adonis vernalis"
"26","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2004,0,"NE","Adonis vernalis"
"27","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2005,4710,"NE","Adonis vernalis"
"28","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2006,0,"NE","Adonis vernalis"
"29","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2007,0,"NE","Adonis vernalis"
"30","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2008,0,"NE","Adonis vernalis"
"31","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2009,0,"NE","Adonis vernalis"
"32","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2010,0,"NE","Adonis vernalis"
"33","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2011,0,"LC","Adonis vernalis"
"34","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2012,0,"LC","Adonis vernalis"
"35","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2013,0,"LC","Adonis vernalis"
"36","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2014,0,"LC","Adonis vernalis"
"37","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2015,0,"LC","Adonis vernalis"
"38","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2016,0,"LC","Adonis vernalis"
"39","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2017,0,"LC","Adonis vernalis"
"40","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2018,0,"LC","Adonis vernalis"
"41","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2019,0,"LC","Adonis vernalis"
"42","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2020,0,"LC","Adonis vernalis"
"43","Aloe arborescens","Liliaceae","Liliales","CN","KE",2000,0,"NE","Aloe arborescens"
"44","Aloe arborescens","Liliaceae","Liliales","CN","KE",2001,0,"NE","Aloe arborescens"
"45","Aloe arborescens","Liliaceae","Liliales","CN","KE",2002,0,"NE","Aloe arborescens"
"46","Aloe arborescens","Liliaceae","Liliales","CN","KE",2003,79438,"NE","Aloe arborescens"
"47","Aloe arborescens","Liliaceae","Liliales","CN","KE",2004,0,"NE","Aloe arborescens"
"48","Aloe arborescens","Liliaceae","Liliales","CN","KE",2005,0,"NE","Aloe arborescens"
"49","Aloe arborescens","Liliaceae","Liliales","CN","KE",2006,0,"NE","Aloe arborescens"
"50","Aloe arborescens","Liliaceae","Liliales","CN","KE",2007,0,"NE","Aloe arborescens"
"51","Aloe arborescens","Liliaceae","Liliales","CN","KE",2008,0,"NE","Aloe arborescens"
"52","Aloe arborescens","Liliaceae","Liliales","CN","KE",2009,0,"NE","Aloe arborescens"
"53","Aloe arborescens","Liliaceae","Liliales","CN","KE",2010,0,"NE","Aloe arborescens"
"54","Aloe arborescens","Liliaceae","Liliales","CN","KE",2011,0,"NE","Aloe arborescens"
"55","Aloe arborescens","Liliaceae","Liliales","CN","KE",2012,0,"NE","Aloe arborescens"
"56","Aloe arborescens","Liliaceae","Liliales","CN","KE",2013,0,"NE","Aloe arborescens"
"57","Aloe arborescens","Liliaceae","Liliales","CN","KE",2014,0,"NE","Aloe arborescens"
"58","Aloe arborescens","Liliaceae","Liliales","CN","KE",2015,0,"NE","Aloe arborescens"
"59","Aloe arborescens","Liliaceae","Liliales","CN","KE",2016,0,"NE","Aloe arborescens"
"60","Aloe arborescens","Liliaceae","Liliales","CN","KE",2017,0,"NE","Aloe arborescens"
"61","Aloe arborescens","Liliaceae","Liliales","CN","KE",2018,0,"NE","Aloe arborescens"
"62","Aloe arborescens","Liliaceae","Liliales","CN","KE",2019,0,"LC","Aloe arborescens"
"63","Aloe arborescens","Liliaceae","Liliales","CN","KE",2020,0,"LC","Aloe arborescens"
"64","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2000,0,"NE","Aloe arborescens"
"65","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2001,0,"NE","Aloe arborescens"
"66","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2002,0,"NE","Aloe arborescens"
"67","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2003,0,"NE","Aloe arborescens"
"68","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2004,0,"NE","Aloe arborescens"
"69","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2005,0,"NE","Aloe arborescens"
"70","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2006,0,"NE","Aloe arborescens"
"71","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2007,0,"NE","Aloe arborescens"
"72","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2008,0,"NE","Aloe arborescens"
"73","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2009,0,"NE","Aloe arborescens"
"74","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2010,0,"NE","Aloe arborescens"
"75","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2011,0,"NE","Aloe arborescens"
"76","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2012,40,"NE","Aloe arborescens"
"77","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2013,0,"NE","Aloe arborescens"
"78","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2014,0,"NE","Aloe arborescens"
"79","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2015,0,"NE","Aloe arborescens"
"80","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2016,0,"NE","Aloe arborescens"
"81","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2017,0,"NE","Aloe arborescens"
"82","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2018,0,"NE","Aloe arborescens"
"83","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2019,0,"LC","Aloe arborescens"
"84","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2020,0,"LC","Aloe arborescens"
"85","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2000,0,"NE","Aloe arborescens"
"86","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2001,0,"NE","Aloe arborescens"
"87","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2002,0,"NE","Aloe arborescens"
"88","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2003,0,"NE","Aloe arborescens"
"89","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2004,0,"NE","Aloe arborescens"
