"","Taxon","Family","Order","Importer","Exporter","Year","mass"
"1","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2000,0
"2","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2001,0
"3","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2002,0
"4","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2003,0
"5","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2004,5384
"6","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2005,0
"7","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2006,55
"8","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2007,0
"9","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2008,0
"10","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2009,0
"11","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2010,0
"12","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2011,0
"13","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2012,0
"14","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2013,0
"15","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2014,0
"16","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2015,0
"17","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2016,0
"18","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2017,0
"19","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2018,0
"20","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2019,0
"21","Adonis vernalis","Ranunculaceae","Ranunculales","DE","RO",2020,0
"22","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2000,0
"23","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2001,0
"24","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2002,0
"25","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2003,0
"26","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2004,0
"27","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2005,4710
"28","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2006,0
"29","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2007,0
"30","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2008,0
"31","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2009,0
"32","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2010,0
"33","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2011,0
"34","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2012,0
"35","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2013,0
"36","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2014,0
"37","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2015,0
"38","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2016,0
"39","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2017,0
"40","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2018,0
"41","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2019,0
