"","Id","Year","Appendix","Taxon","Class","Order","Family","Genus","Term","Quantity","Unit","Importer","Exporter","Origin","Purpose","Source","Reporter.type","Import.permit.RandomID","Export.permit.RandomID","Origin.permit.RandomID","WildSource","PurposeC","Quantity_kg","FL_year","Year_DEL","ChangeType"
"1",9647868210,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",1000,"kg","SG","ID",NA,"T","W","I",NA,"2fb5d27238",NA,"Yes","Commercial",1000,"2005","2020",NA
"2",2907873410,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",5000,"kg","SG","ID",NA,"T","W","I",NA,"907f970b8a",NA,"Yes","Commercial",5000,"2005","2020",NA
"3",7591539710,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",500,"kg","SG","ID",NA,"T","W","I",NA,"6da3c65099",NA,"Yes","Commercial",500,"2005","2020",NA
"4",4242684010,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",425,"kg","SG","ID",NA,"T","W","I",NA,"a882281e0d",NA,"Yes","Commercial",425,"2005","2020",NA
"5",4301462110,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",500,"kg","SG","ID",NA,"T","W","I",NA,"845c020bea",NA,"Yes","Commercial",500,"2005","2020",NA
"6",3202153210,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",5000,"kg","SG","ID",NA,"T","W","I",NA,"ff8f28ed55",NA,"Yes","Commercial",5000,"2005","2020",NA
"7",3823731110,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",500,"kg","SG","ID",NA,"T","W","I",NA,"8a2a4cdf98",NA,"Yes","Commercial",500,"2005","2020",NA
"8",4161120510,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",500,"kg","SG","ID",NA,"T","W","I",NA,"3bd27b56f8",NA,"Yes","Commercial",500,"2005","2020",NA
"9",9177087410,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",250,"kg","SG","ID",NA,"T","W","I",NA,"8c455ae9c8",NA,"Yes","Commercial",250,"2005","2020",NA
"10",9954363010,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",2625,"kg","SG","ID",NA,"T","W","I",NA,"3f68a6a5f6",NA,"Yes","Commercial",2625,"2005","2020",NA
"11",9480272110,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",1550,"kg","SG","ID",NA,"T","W","I",NA,"f58ae553c1",NA,"Yes","Commercial",1550,"2005","2020",NA
"12",6993424210,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",2000,"kg","SG","ID",NA,"T","W","I",NA,"abb0cf1c0f",NA,"Yes","Commercial",2000,"2005","2020",NA
"13",8355447210,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",1500,"kg","SG","ID",NA,"T","W","I",NA,"d81ae3eb61",NA,"Yes","Commercial",1500,"2005","2020",NA
"14",1871026910,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",500,"kg","SG","ID",NA,"T","W","I",NA,"7320e0e0b9",NA,"Yes","Commercial",500,"2005","2020",NA
"15",4220256310,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",3800,"kg","SG","ID",NA,"T","W","I",NA,"2db659eb9a",NA,"Yes","Commercial",3800,"2005","2020",NA
"16",8534619910,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",3000,"kg","SG","ID",NA,"T","W","I",NA,"c56ca77464",NA,"Yes","Commercial",3000,"2005","2020",NA
"17",8735526010,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",3000,"kg","SG","ID",NA,"T","W","I",NA,"d82e281942",NA,"Yes","Commercial",3000,"2005","2020",NA
"18",7787349410,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",2000,"kg","SG","ID",NA,"T","W","I",NA,"04b6d33827",NA,"Yes","Commercial",2000,"2005","2020",NA
"19",4754754410,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",2000,"kg","SG","ID",NA,"T","W","I",NA,"a2b5855a66",NA,"Yes","Commercial",2000,"2005","2020",NA
"20",6269679510,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",2000,"kg","SG","ID",NA,"T","W","I",NA,"43b90408cf",NA,"Yes","Commercial",2000,"2005","2020",NA
"21",2153870510,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",2000,"kg","SG","ID",NA,"T","W","I",NA,"3cba7328f7",NA,"Yes","Commercial",2000,"2005","2020",NA
"22",9048199210,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",1750,"kg","SG","ID",NA,"T","W","I",NA,"5f355e15d2",NA,"Yes","Commercial",1750,"2005","2020",NA
"23",5952994110,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",1000,"kg","SG","ID",NA,"T","W","I",NA,"be01969aea",NA,"Yes","Commercial",1000,"2005","2020",NA
"24",8761306210,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",1000,"kg","SG","ID",NA,"T","W","I",NA,"30f5602018",NA,"Yes","Commercial",1000,"2005","2020",NA
"25",4834112710,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",1250,"kg","SG","ID",NA,"T","W","I",NA,"3e470c0ba6",NA,"Yes","Commercial",1250,"2005","2020",NA
"26",7176796210,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",750,"kg","SG","ID",NA,"T","W","I",NA,"0c93e7f9c9",NA,"Yes","Commercial",750,"2005","2020",NA
"27",8622782110,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",5540,"kg","SG","ID",NA,"T","W","I",NA,"9941532b39",NA,"Yes","Commercial",5540,"2005","2020",NA
"28",9287553810,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",720,"kg","SG","ID",NA,"T","W","I",NA,"f2f3b2b8e7",NA,"Yes","Commercial",720,"2005","2020",NA
"29",8516377310,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",500,"kg","SG","ID",NA,"T","W","I",NA,"a18145c713",NA,"Yes","Commercial",500,"2005","2020",NA
"30",6500075810,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",500,"kg","SG","ID",NA,"T","W","I",NA,"75600f2f6d",NA,"Yes","Commercial",500,"2005","2020",NA
"31",1363025610,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",500,"kg","SG","ID",NA,"T","W","I",NA,"ebef6e5a76",NA,"Yes","Commercial",500,"2005","2020",NA
"32",5133165810,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",1500,"kg","SG","ID",NA,"T","W","I",NA,"d2f5e6892b",NA,"Yes","Commercial",1500,"2005","2020",NA
"33",6607876110,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",2900,"kg","SG","ID",NA,"T","W","I",NA,"b77c205cbd",NA,"Yes","Commercial",2900,"2005","2020",NA
"34",1092882710,2011,"II","Aquilaria filaria",NA,"Myrtales","Thymelaeaceae","Aquilaria","powder",500,"kg","SG","ID",NA,"T","W","I",NA,"4e33fd1bd4",NA,"Yes","Commercial",500,"2005","2020",NA
