term,Mass,Volume,Individuals,Others,,,,,,,,,,
roots,2579,225,225,0,,,,,,,,,,
extract,1341,260,106,0,,,,,,,,,,
wax,1321,0,9,0,,,,,,,,,,
powder,1214,0,16,0,,,,,,,,,,
bark,527,0,0,0,,,,,,,,,,
oil,485,125,4,0,,,,,,,,,,
dried plants,209,1,44,0,,,,,,,,,,
derivatives,167,23,126,1,,,,,,,,,,
seeds,143,0,8,0,,,,,,,,,,
stems,109,0,929,0,,,,,,,,,,
cosmetics,48,30,37,0,,,,,,,,,,
carvings,32,281,195,1,,,,,,,,,,
leaves,25,0,143,0,,,,,,,,,,
medicine,11,9,13,0,,,,,,,,,,
kernel,8,0,0,0,,,,,,,,,,
flowers,7,0,0,0,,,,,,,,,,
fibres,6,9,1,0,,,,,,,,,,
fruit,1,0,0,0,,,,,,,,,,
