"","IUCNName","Year","IUCN_code","IUCN_cat","Taxon"
"1","Adonis vernalis",,,,"Adonis vernalis"
"2","Aloe arborescens","2019","LC","Least Concern","Aloe arborescens"
"3","Aloe ellenbeckii","2013","LC","Least Concern","Aloe ellenbeckii"
"4","Aloe ferox",,,,"Aloe ferox"
"5","Aloe greatheadii","2019","LC","Least Concern","Aloe greatheadii"
"6","Aloe marlothii","2019","LC","Least Concern","Aloe marlothii"
"7","Aloe secundiflora","2013","LC","Least Concern","Aloe secundiflora"
"8","Aniba rosaeodora",,,,"Aniba rosaeodora"
"9","Aquilaria crassna","2018","CR","Critically Endangered","Aquilaria crassna"
"10","Aquilaria crassna","1998","CR","Critically Endangered","Aquilaria crassna"
"11","Aquilaria filaria","2018","VU","Vulnerable","Aquilaria filaria"
"12","Aquilaria malaccensis","2018","CR","Critically Endangered","Aquilaria malaccensis"
"13","Aquilaria malaccensis","1998","VU","Vulnerable","Aquilaria malaccensis"
"14","Aquilaria sinensis","2018","VU","Vulnerable","Aquilaria sinensis"
"15","Aquilaria sinensis","1998","V","Vulnerable","Aquilaria sinensis"
"16","Aquilaria sinensis","1998","VU","Vulnerable","Aquilaria sinensis"
"17","Himantoglossum robertianum",,,,"Barlia robertiana"
"18","Bletilla striata",,,,"Bletilla striata"
"19","Bulnesia sarmientoi",,,,"Bulnesia sarmientoi"
"20","Cibotium barometz",,,,"Cibotium barometz"
"21","Cistanche deserticola",,,,"Cistanche deserticola"
"22","Cyathea concinna",,,,"Cyathea concinna"
"23","Cyathea medullaris",,,,"Cyathea medullaris"
"24","Cylindropuntia cholla","2020","LC","Least Concern","Cylindropuntia cholla"
"25","Cylindropuntia cholla","2013","LC","Least Concern","Cylindropuntia cholla"
"26","Dalbergia melanoxylon","2020","NT","Near Threatened","Dalbergia melanoxylon"
"27","Dalbergia melanoxylon","1998","nt","Not Threatened","Dalbergia melanoxylon"
"28","Dalbergia melanoxylon","1998","LR/nt","Lower Risk/near threatened","Dalbergia melanoxylon"
"29","Dalbergia sissoo","2020","LC","Least Concern","Dalbergia sissoo"
