"","Taxon","Family","Order","Vol_Unit","Year","Clean_code","IUCNName","Threat","Volume"
"1","Aloe ferox","Liliaceae","Liliales","m3",2000,"NE","Aloe ferox","not threatened",0
"2","Aloe ferox","Liliaceae","Liliales","m3",2001,"NE","Aloe ferox","not threatened",0
"3","Aloe ferox","Liliaceae","Liliales","m3",2002,"NE","Aloe ferox","not threatened",0
"4","Aloe ferox","Liliaceae","Liliales","m3",2003,"NE","Aloe ferox","not threatened",0
"5","Aloe ferox","Liliaceae","Liliales","m3",2004,"NE","Aloe ferox","not threatened",14.9010607595042
"6","Aloe ferox","Liliaceae","Liliales","m3",2005,"NE","Aloe ferox","not threatened",0
"7","Aloe ferox","Liliaceae","Liliales","m3",2006,"NE","Aloe ferox","not threatened",0
"8","Aloe ferox","Liliaceae","Liliales","m3",2007,"NE","Aloe ferox","not threatened",0
"9","Aloe ferox","Liliaceae","Liliales","m3",2008,"NE","Aloe ferox","not threatened",0
"10","Aloe ferox","Liliaceae","Liliales","m3",2009,"NE","Aloe ferox","not threatened",0
"11","Aloe ferox","Liliaceae","Liliales","m3",2010,"NE","Aloe ferox","not threatened",0
"12","Aloe ferox","Liliaceae","Liliales","m3",2011,"NE","Aloe ferox","not threatened",0
"13","Aloe ferox","Liliaceae","Liliales","m3",2012,"NE","Aloe ferox","not threatened",0
"14","Aloe ferox","Liliaceae","Liliales","m3",2013,"NE","Aloe ferox","not threatened",0
"15","Aloe ferox","Liliaceae","Liliales","m3",2014,"NE","Aloe ferox","not threatened",0
"16","Aloe ferox","Liliaceae","Liliales","m3",2015,"NE","Aloe ferox","not threatened",0
"17","Aloe ferox","Liliaceae","Liliales","m3",2016,"NE","Aloe ferox","not threatened",0
"18","Aloe ferox","Liliaceae","Liliales","m3",2017,"NE","Aloe ferox","not threatened",0
"19","Aloe ferox","Liliaceae","Liliales","m3",2018,"NE","Aloe ferox","not threatened",0
"20","Aloe ferox","Liliaceae","Liliales","m3",2019,"NE","Aloe ferox","not threatened",0
"21","Aloe ferox","Liliaceae","Liliales","m3",2020,"NE","Aloe ferox","not threatened",0
"22","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2005,"CR","Aquilaria crassna","threatened",0
"23","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2006,"CR","Aquilaria crassna","threatened",0
"24","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2007,"CR","Aquilaria crassna","threatened",0.533070088845014
"25","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2008,"CR","Aquilaria crassna","threatened",0.820335636722606
"26","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2009,"CR","Aquilaria crassna","threatened",1.1609081934847
"27","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2010,"CR","Aquilaria crassna","threatened",10.8805528134254
"28","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2011,"CR","Aquilaria crassna","threatened",1.01579466929911
"29","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2012,"CR","Aquilaria crassna","threatened",0.337732477788746
"30","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2013,"CR","Aquilaria crassna","threatened",44.4225074037512
"31","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2014,"CR","Aquilaria crassna","threatened",7.41044027640671
"32","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2015,"CR","Aquilaria crassna","threatened",0
"33","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2016,"CR","Aquilaria crassna","threatened",0.690029615004935
"34","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2017,"CR","Aquilaria crassna","threatened",1.40336623889437
"35","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2018,"CR","Aquilaria crassna","threatened",0
"36","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2019,"CR","Aquilaria crassna","threatened",0.561796643632773
"37","Aquilaria crassna","Thymelaeaceae","Myrtales","m3",2020,"CR","Aquilaria crassna","threatened",0.627838104639684
"38","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2005,"NE","Aquilaria filaria","not threatened",359.742349457058
"39","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2006,"NE","Aquilaria filaria","not threatened",844.901283316879
"40","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2007,"NE","Aquilaria filaria","not threatened",1064.08637709773
"41","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2008,"NE","Aquilaria filaria","not threatened",684.965271470878
"42","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2009,"NE","Aquilaria filaria","not threatened",1113.01436327739
"43","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2010,"NE","Aquilaria filaria","not threatened",506.065646594274
"44","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2011,"NE","Aquilaria filaria","not threatened",1016.72369200395
"45","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2012,"NE","Aquilaria filaria","not threatened",386.753928923988
"46","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2013,"NE","Aquilaria filaria","not threatened",1095.25957551826
"47","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2014,"NE","Aquilaria filaria","not threatened",636.044422507403
"48","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2015,"NE","Aquilaria filaria","not threatened",316.116485686081
"49","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2016,"NE","Aquilaria filaria","not threatened",468.527147087857
"50","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2017,"NE","Aquilaria filaria","not threatened",426.884540967423
"51","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2018,"VU","Aquilaria filaria","threatened",1419.00774432379
"52","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2019,"VU","Aquilaria filaria","threatened",1540.65069891412
"53","Aquilaria filaria","Thymelaeaceae","Myrtales","m3",2020,"VU","Aquilaria filaria","threatened",1355.79387956565
"54","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2000,"VU","Aquilaria malaccensis","threatened",208.625
"55","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2001,"VU","Aquilaria malaccensis","threatened",68.04375
"56","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2002,"VU","Aquilaria malaccensis","threatened",440.819375
"57","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2003,"VU","Aquilaria malaccensis","threatened",1003.813125
"58","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2004,"VU","Aquilaria malaccensis","threatened",656.1121875
"59","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2005,"VU","Aquilaria malaccensis","threatened",567.1545625
"60","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2006,"VU","Aquilaria malaccensis","threatened",643.205578125
"61","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2007,"VU","Aquilaria malaccensis","threatened",662.24525
"62","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2008,"VU","Aquilaria malaccensis","threatened",638.16053125
"63","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2009,"VU","Aquilaria malaccensis","threatened",567.044828125
"64","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2010,"VU","Aquilaria malaccensis","threatened",611.4454375
"65","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2011,"VU","Aquilaria malaccensis","threatened",1057.01659375
"66","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2012,"VU","Aquilaria malaccensis","threatened",569.17643625
"67","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2013,"VU","Aquilaria malaccensis","threatened",767.549921875
"68","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2014,"VU","Aquilaria malaccensis","threatened",453.75715625
"69","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2015,"VU","Aquilaria malaccensis","threatened",267.93559375
"70","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3",2016,"VU","Aquilaria malaccensis","threatened",316.506703125
