"","V1","Taxon","Family","Order","Vol_Unit","Importer","Exporter","Year","Vol","Volume","Clean_code","IUCNName","Threat"
"1",1,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2000,,0,"NE","Aloe ferox","not threatened"
"2",2,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2001,,0,"NE","Aloe ferox","not threatened"
"3",3,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2002,,0,"NE","Aloe ferox","not threatened"
"4",4,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2003,,0,"NE","Aloe ferox","not threatened"
"5",5,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2004,14.9010607595042,14.9010607595042,"NE","Aloe ferox","not threatened"
"6",6,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2005,,0,"NE","Aloe ferox","not threatened"
"7",7,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2006,,0,"NE","Aloe ferox","not threatened"
"8",8,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2007,,0,"NE","Aloe ferox","not threatened"
"9",9,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2008,,0,"NE","Aloe ferox","not threatened"
"10",10,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2009,,0,"NE","Aloe ferox","not threatened"
"11",11,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2010,,0,"NE","Aloe ferox","not threatened"
"12",12,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2011,,0,"NE","Aloe ferox","not threatened"
"13",13,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2012,,0,"NE","Aloe ferox","not threatened"
"14",14,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2013,,0,"NE","Aloe ferox","not threatened"
"15",15,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2014,,0,"NE","Aloe ferox","not threatened"
"16",16,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2015,,0,"NE","Aloe ferox","not threatened"
"17",17,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2016,,0,"NE","Aloe ferox","not threatened"
"18",18,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2017,,0,"NE","Aloe ferox","not threatened"
"19",19,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2018,,0,"NE","Aloe ferox","not threatened"
"20",20,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2019,,0,"NE","Aloe ferox","not threatened"
"21",21,"Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2020,,0,"NE","Aloe ferox","not threatened"
"22",22,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2005,,0,"CR","Aquilaria crassna","threatened"
"23",23,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2006,,0,"CR","Aquilaria crassna","threatened"
"24",24,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2007,,0,"CR","Aquilaria crassna","threatened"
"25",25,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2008,,0,"CR","Aquilaria crassna","threatened"
"26",26,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2009,,0,"CR","Aquilaria crassna","threatened"
"27",27,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2010,,0,"CR","Aquilaria crassna","threatened"
"28",28,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2011,0.100691016781836,0.100691016781836,"CR","Aquilaria crassna","threatened"
"29",29,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2012,,0,"CR","Aquilaria crassna","threatened"
"30",30,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2013,,0,"CR","Aquilaria crassna","threatened"
"31",31,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2014,,0,"CR","Aquilaria crassna","threatened"
"32",32,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2015,,0,"CR","Aquilaria crassna","threatened"
"33",33,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2016,,0,"CR","Aquilaria crassna","threatened"
"34",34,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2017,,0,"CR","Aquilaria crassna","threatened"
"35",35,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2018,,0,"CR","Aquilaria crassna","threatened"
"36",36,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2019,,0,"CR","Aquilaria crassna","threatened"
"37",37,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2020,,0,"CR","Aquilaria crassna","threatened"
"38",38,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2005,,0,"CR","Aquilaria crassna","threatened"
"39",39,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2006,,0,"CR","Aquilaria crassna","threatened"
"40",40,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2007,,0,"CR","Aquilaria crassna","threatened"
"41",41,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2008,,0,"CR","Aquilaria crassna","threatened"
"42",42,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2009,,0,"CR","Aquilaria crassna","threatened"
"43",43,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2010,,0,"CR","Aquilaria crassna","threatened"
"44",44,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2011,0.0266535044422507,0.0266535044422507,"CR","Aquilaria crassna","threatened"
"45",45,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2012,,0,"CR","Aquilaria crassna","threatened"
"46",46,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2013,,0,"CR","Aquilaria crassna","threatened"
"47",47,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2014,,0,"CR","Aquilaria crassna","threatened"
"48",48,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2015,,0,"CR","Aquilaria crassna","threatened"
"49",49,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2016,,0,"CR","Aquilaria crassna","threatened"
"50",50,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2017,,0,"CR","Aquilaria crassna","threatened"
"51",51,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2018,,0,"CR","Aquilaria crassna","threatened"
"52",52,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2019,,0,"CR","Aquilaria crassna","threatened"
"53",53,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","TH",2020,,0,"CR","Aquilaria crassna","threatened"
"54",54,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2005,,0,"CR","Aquilaria crassna","threatened"
"55",55,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2006,,0,"CR","Aquilaria crassna","threatened"
"56",56,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2007,,0,"CR","Aquilaria crassna","threatened"
"57",57,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2008,,0,"CR","Aquilaria crassna","threatened"
"58",58,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2009,,0,"CR","Aquilaria crassna","threatened"
"59",59,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2010,,0,"CR","Aquilaria crassna","threatened"
"60",60,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2011,,0,"CR","Aquilaria crassna","threatened"
"61",61,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2012,,0,"CR","Aquilaria crassna","threatened"
"62",62,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2013,,0,"CR","Aquilaria crassna","threatened"
"63",63,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2014,7.252,7.252,"CR","Aquilaria crassna","threatened"
"64",64,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2015,,0,"CR","Aquilaria crassna","threatened"
"65",65,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2016,,0,"CR","Aquilaria crassna","threatened"
"66",66,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2017,,0,"CR","Aquilaria crassna","threatened"
"67",67,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2018,,0,"CR","Aquilaria crassna","threatened"
"68",68,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2019,,0,"CR","Aquilaria crassna","threatened"
"69",69,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","LA",2020,,0,"CR","Aquilaria crassna","threatened"
"70",70,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2005,,0,"CR","Aquilaria crassna","threatened"
"71",71,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2006,,0,"CR","Aquilaria crassna","threatened"
"72",72,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2007,,0,"CR","Aquilaria crassna","threatened"
"73",73,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2008,,0,"CR","Aquilaria crassna","threatened"
"74",74,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2009,,0,"CR","Aquilaria crassna","threatened"
"75",75,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2010,10.5310957551826,10.5310957551826,"CR","Aquilaria crassna","threatened"
"76",76,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2011,,0,"CR","Aquilaria crassna","threatened"
"77",77,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2012,,0,"CR","Aquilaria crassna","threatened"
"78",78,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2013,,0,"CR","Aquilaria crassna","threatened"
"79",79,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2014,,0,"CR","Aquilaria crassna","threatened"
"80",80,"Aquilaria crassna","Thymelaeaceae","Myrtales","m3","CN","TH",2015,,0,"CR","Aquilaria crassna","threatened"
