"","Taxon","Family","Order","Vol_Unit","Importer","Exporter","Year","Vol","Volume"
"1","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2000,,0
"2","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2001,,0
"3","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2002,,0
"4","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2003,,0
"5","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2004,14.9010607595042,14.9010607595042
"6","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2005,,0
"7","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2006,,0
"8","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2007,,0
"9","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2008,,0
"10","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2009,,0
"11","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2010,,0
"12","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2011,,0
"13","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2012,,0
"14","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2013,,0
"15","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2014,,0
"16","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2015,,0
"17","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2016,,0
"18","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2017,,0
"19","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2018,,0
"20","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2019,,0
"21","Aloe ferox","Liliaceae","Liliales","m3","US","ZA",2020,,0
"22","Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2005,,0
"23","Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2006,,0
"24","Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2007,,0
"25","Aquilaria crassna","Thymelaeaceae","Myrtales","m3","AE","MY",2008,,0
