"","IUCNName","Year","IUCN_code","IUCN_cat","Taxon"
"1","Aloe ferox",,,,"Aloe ferox"
"2","Aquilaria crassna","2018","CR","Critically Endangered","Aquilaria crassna"
"3","Aquilaria crassna","1998","CR","Critically Endangered","Aquilaria crassna"
"4","Aquilaria filaria","2018","VU","Vulnerable","Aquilaria filaria"
"5","Aquilaria malaccensis","2018","CR","Critically Endangered","Aquilaria malaccensis"
"6","Aquilaria malaccensis","1998","VU","Vulnerable","Aquilaria malaccensis"
"7","Aquilaria microcarpa","2018","EN","Endangered","Aquilaria microcarpa"
"8","Aquilaria microcarpa","1998","VU","Vulnerable","Aquilaria microcarpa"
"9","Gonopterodendron sarmientoi","2018","EN","Endangered","Bulnesia sarmientoi"
"10","Gonopterodendron sarmientoi","1998","LR/cd","Lower Risk/conservation dependent","Bulnesia sarmientoi"
"11","Carnegiea gigantea","2013","LC","Least Concern","Carnegiea gigantea"
"12","Caryocar costaricense","2018","EN","Endangered","Caryocar costaricense"
"13","Caryocar costaricense","1998","V","Vulnerable","Caryocar costaricense"
"14","Caryocar costaricense","1998","VU","Vulnerable","Caryocar costaricense"
"15","Cedrela angustifolia","2021","VU","Vulnerable","Cedrela angustifolia"
"16","Cedrela fissilis","2018","VU","Vulnerable","Cedrela fissilis"
"17","Cedrela fissilis","1998","EN","Endangered","Cedrela fissilis"
"18","Cedrela odorata","2017","VU","Vulnerable","Cedrela odorata"
"19","Cedrela odorata","1998","nt","Not Threatened","Cedrela odorata"
"20","Cedrela odorata","1998","VU","Vulnerable","Cedrela odorata"
"21","Cylindropuntia cholla","2020","LC","Least Concern","Cylindropuntia cholla"
"22","Cylindropuntia cholla","2013","LC","Least Concern","Cylindropuntia cholla"
"23","Dalbergia oliveri","2022","CR","Critically Endangered","Dalbergia bariensis"
"24","Dalbergia oliveri","2022","CR","Critically Endangered","Dalbergia oliveri"
"25","Dalbergia calderonii","2020","CR","Critically Endangered","Dalbergia calderonii"
"26","Dalbergia cochinchinensis","2022","CR","Critically Endangered","Dalbergia cochinchinensis"
"27","Dalbergia granadillo","2019","CR","Critically Endangered","Dalbergia granadillo"
"28","Dalbergia lactea","2021","LC","Least Concern","Dalbergia lactea"
"29","Dalbergia latifolia","2020","VU","Vulnerable","Dalbergia latifolia"
"30","Dalbergia latifolia","1998","nt","Not Threatened","Dalbergia latifolia"
"31","Dalbergia latifolia","1998","VU","Vulnerable","Dalbergia latifolia"
"32","Dalbergia melanoxylon","2020","NT","Near Threatened","Dalbergia melanoxylon"
"33","Dalbergia melanoxylon","1998","nt","Not Threatened","Dalbergia melanoxylon"
"34","Dalbergia melanoxylon","1998","LR/nt","Lower Risk/near threatened","Dalbergia melanoxylon"
"35","Dalbergia nigra","1998","I","Indeterminate","Dalbergia nigra"
"36","Dalbergia nigra","1998","VU","Vulnerable","Dalbergia nigra"
"37","Dalbergia oliveri","2022","CR","Critically Endangered","Dalbergia bariensis"
"38","Dalbergia oliveri","2022","CR","Critically Endangered","Dalbergia oliveri"
"39","Dalbergia retusa","2020","CR","Critically Endangered","Dalbergia retusa"
"40","Dalbergia retusa","1998","VU","Vulnerable","Dalbergia retusa"
"41","Dalbergia sissoo","2020","LC","Least Concern","Dalbergia sissoo"
"42","Dalbergia stevensonii","2021","CR","Critically Endangered","Dalbergia stevensonii"
"43","Dalbergia tucurensis","2020","EN","Endangered","Dalbergia tucurensis"
"44","Diospyros mcphersonii","2019","EN","Endangered","Diospyros mcphersonii"
"45","Dipteryx oleifera","2021","LC","Least Concern","Dipteryx panamensis"
"46","Fitzroya cupressoides","2013","EN","Endangered","Fitzroya cupressoides"
"47","Fitzroya cupressoides","2000","EN","Endangered","Fitzroya cupressoides"
"48","Fitzroya cupressoides","1998","E","Endangered","Fitzroya cupressoides"
"49","Fitzroya cupressoides","1998","EN","Endangered","Fitzroya cupressoides"
"50","Fraxinus mandshurica","2018","LC","Least Concern","Fraxinus mandshurica"
"51","Gonystylus bancanus","2018","CR","Critically Endangered","Gonystylus bancanus"
"52","Gonystylus bancanus","1998","VU","Vulnerable","Gonystylus bancanus"
"53","Gonystylus macrophyllus","2018","LC","Least Concern","Gonystylus macrophyllus"
"54","Gonystylus macrophyllus","1998","VU","Vulnerable","Gonystylus macrophyllus"
"55","Guaiacum coulteri","2017","VU","Vulnerable","Guaiacum coulteri"
"56","Guaiacum coulteri","1998","I","Indeterminate","Guaiacum coulteri"
"57","Guaiacum coulteri","1998","LR/cd","Lower Risk/conservation dependent","Guaiacum coulteri"
"58","Guaiacum officinale","2019","EN","Endangered","Guaiacum officinale"
"59","Guaiacum officinale","1998","nt","Not Threatened","Guaiacum officinale"
"60","Guaiacum officinale","1998","EN","Endangered","Guaiacum officinale"
"61","Guaiacum sanctum","2017","NT","Near Threatened","Guaiacum sanctum"
"62","Guaiacum sanctum","1998","nt","Not Threatened","Guaiacum sanctum"
"63","Guaiacum sanctum","1998","EN","Endangered","Guaiacum sanctum"
"64","Guibourtia demeusei","2021","NT","Near Threatened","Guibourtia demeusei"
"65","Guibourtia pellegriniana","2021","EN","Endangered","Guibourtia pellegriniana"
"66","Guibourtia tessmannii","2021","EN","Endangered","Guibourtia tessmannii"
"67","Gyrinops caudata","2022","VU","Vulnerable","Gyrinops caudata"
"68","Gyrinops ledermanii",,,,"Gyrinops ledermanii"
"69","Dipteryx  oleifera",,,,"Gyrinops versteegii"
"70","Osyris lanceolata","2018","LC","Least Concern","Osyris lanceolata"
"71","Paubrasilia echinata","1998","EN","Endangered","Paubrasilia echinata"
"72","Pericopsis elata","2020","EN","Endangered","Pericopsis elata"
"73","Pericopsis elata","1998","nt","Not Threatened","Pericopsis elata"
"74","Pericopsis elata","1998","EN","Endangered","Pericopsis elata"
"75","Pinus koraiensis","2013","LC","Least Concern","Pinus koraiensis"
"76","Pinus koraiensis","1998","LR/lc","Lower Risk/least concern","Pinus koraiensis"
"77","Platymiscium parviflorum","2018","CR","Critically Endangered","Platymiscium parviflorum"
