Trade purpose,Taxon,Family,Order,Order (APG V),
Live,Acanthophippium striatum,Orchidaceae,Orchidales,Asparagales,
Live,Acianthera miqueliana,Orchidaceae,Orchidales,Asparagales,
Live,Acianthera tikalensis,Orchidaceae,Orchidales,Asparagales,
Live,Acriopsis indica,Orchidaceae,Orchidales,Asparagales,
Live,Adenia firingalavensis,Passifloraceae,Violales,Malpighiales,
Live,Adenia olaboensis,Passifloraceae,Violales,Malpighiales,
Live,Aerangis articulata,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis citrata,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis cryptodon,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis curnowiana,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis decaryana,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis ellisii,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis fastuosa,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis fuscata,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis hyaloides,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis macrocentra,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis modesta,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis pallidiflora,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis punctata,Orchidaceae,Orchidales,Asparagales,
Live,Aerangis stylosa,Orchidaceae,Orchidales,Asparagales,
Live,Aeranthes arachnites,Orchidaceae,Orchidales,Asparagales,
Live,Aeranthes grandiflora,Orchidaceae,Orchidales,Asparagales,
Live,Aeranthes nidus,Orchidaceae,Orchidales,Asparagales,
Live,Aeranthes peyrotii,Orchidaceae,Orchidales,Asparagales,
Live,Aeranthes ramosa,Orchidaceae,Orchidales,Asparagales,
Live,Aerides crassifolia,Orchidaceae,Orchidales,Asparagales,
Live,Aerides falcata,Orchidaceae,Orchidales,Asparagales,
Live,Aerides multiflora,Orchidaceae,Orchidales,Asparagales,
Live,Aerides odorata,Orchidaceae,Orchidales,Asparagales,
Live,Aerides rubescens,Orchidaceae,Orchidales,Asparagales,
Live,Alluaudia comosa,Didiereaceae,Caryophyllales,Caryophyllales,
Live,Alluaudia procera,Didiereaceae,Caryophyllales,Caryophyllales,
Live,Alluaudiopsis fiherenensis,Didiereaceae,Caryophyllales,Caryophyllales,
Live,Aloe antandroi,Liliaceae,Liliales,Liliales,
Live,Aloe arborescens,Liliaceae,Liliales,Liliales,
Live,Aloe aristata,Liliaceae,Liliales,Liliales,
Live,Aloe barberae,Liliaceae,Liliales,Liliales,
Live,Aloe capitata,Liliaceae,Liliales,Liliales,
Live,Aloe conifera,Liliaceae,Liliales,Liliales,
Live,Aloe deltoideodonta,Liliaceae,Liliales,Liliales,
Live,Aloe dichotoma,Liliaceae,Liliales,Liliales,
Live,Aloe divaricata,Liliaceae,Liliales,Liliales,
Live,Aloe droseroides,Liliaceae,Liliales,Liliales,
Live,Aloe ecklonis,Liliaceae,Liliales,Liliales,
Live,Aloe erythrophylla,Liliaceae,Liliales,Liliales,
Live,Aloe ferox,Liliaceae,Liliales,Liliales,
Live,Aloe humbertii,Liliaceae,Liliales,Liliales,
Live,Aloe inexpectata,Liliaceae,Liliales,Liliales,
Live,Aloe plicatilis,Liliaceae,Liliales,Liliales,
Live,Aloe polyphylla,Liliaceae,Liliales,Liliales,
Live,Aloe pratensis,Liliaceae,Liliales,Liliales,
Live,Aloe pronkii,Liliaceae,Liliales,Liliales,
Live,Aloe vaombe,Liliaceae,Liliales,Liliales,
Live,Alsophila borinquena,Cyatheaceae,Cyatheales,Cyatheales,
Live,Alsophila cunninghamii,Cyatheaceae,Cyatheales,Cyatheales,
Live,Alsophila dregei,Cyatheaceae,Cyatheales,Cyatheales,
Live,Alsophila smithii,Cyatheaceae,Cyatheales,Cyatheales,
Live,Angraecum alleizettei,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum ankeranense,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum bicallosum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum breve,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum clavigerum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum compactum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum coutrixii,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum didieri,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum dollii,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum drouhardii,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum eburneum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum elephantinum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum equitans,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum filicornu,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum germinyanum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum gracile,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum humblotianum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum lecomtei,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum leonis,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum magdalenae,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum mahavavense,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum obesum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum pinifolium,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum popowii,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum praestans,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum protensum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum pseudofilicornu,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum ramosum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum rutenbergianum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum scottianum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum sesquipedale,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum sororium,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum teretifolium,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum triquetrum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum urschianum,Orchidaceae,Orchidales,Asparagales,
Live,Angraecum viguieri,Orchidaceae,Orchidales,Asparagales,
Live,Anoectochilus brevilabris,Orchidaceae,Orchidales,Asparagales,
Live,Aquilaria beccariana,Thymelaeaceae,Myrtales,Malvales,
Live,Aquilaria crassna,Thymelaeaceae,Myrtales,Malvales,
Live,Aquilaria malaccensis,Thymelaeaceae,Myrtales,Malvales,
Live,Aquilaria subintegra,Thymelaeaceae,Myrtales,Malvales,
Live,Arachnis flos-aeris,Orchidaceae,Orchidales,Asparagales,
Live,Arpophyllum giganteum,Orchidaceae,Orchidales,Asparagales,
Live,Arpophyllum spicatum,Orchidaceae,Orchidales,Asparagales,
Live,Arundina graminifolia,Orchidaceae,Orchidales,Asparagales,
Live,Ascocentrum christensonianum,Orchidaceae,Orchidales,Asparagales,
Live,Ascocentrum miniatum,Orchidaceae,Orchidales,Asparagales,
Live,Astrophytum capricorne,Cactaceae,Caryophyllales,Caryophyllales,
Live,Astrophytum coahuilense,Cactaceae,Caryophyllales,Caryophyllales,
Live,Astrophytum myriostigma,Cactaceae,Caryophyllales,Caryophyllales,
Live,Astrophytum ornatum,Cactaceae,Caryophyllales,Caryophyllales,
Live,Barkeria obovata,Orchidaceae,Orchidales,Asparagales,
Live,Barkeria spectabilis,Orchidaceae,Orchidales,Asparagales,
Live,Beclardia macrostachya,Orchidaceae,Orchidales,Asparagales,
Live,Bletia patula,Orchidaceae,Orchidales,Asparagales,
Live,Bletia purpurea,Orchidaceae,Orchidales,Asparagales,
Live,Bletilla striata,Orchidaceae,Orchidales,Asparagales,
Live,Bowenia serrulata,Stangeriaceae,Cycadales,Cycadales,
Live,Brachycorythis galeandra,Orchidaceae,Orchidales,Asparagales,
Live,Brachypeza semiteretifolia,Orchidaceae,Orchidales,Asparagales,
Live,Brassavola acaulis,Orchidaceae,Orchidales,Asparagales,
Live,Brassavola cordata,Orchidaceae,Orchidales,Asparagales,
Live,Brassavola cucullata,Orchidaceae,Orchidales,Asparagales,
Live,Brassavola nodosa,Orchidaceae,Orchidales,Asparagales,
Live,Brassavola venosa,Orchidaceae,Orchidales,Asparagales,
Live,Brassia caudata,Orchidaceae,Orchidales,Asparagales,
Live,Brassia maculata,Orchidaceae,Orchidales,Asparagales,
Live,Brassia verrucosa,Orchidaceae,Orchidales,Asparagales,
Live,Bromheadia aporoides,Orchidaceae,Orchidales,Asparagales,
Live,Broughtonia negrilensis,Orchidaceae,Orchidales,Asparagales,
Live,Broughtonia sanguinea,Orchidaceae,Orchidales,Asparagales,
Live,Bryobium hyacinthoides,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum affine,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum alexandrae,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum baronii,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum boiteaui,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum callosum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum careyanum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum cirrhoglossum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum comosum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum coriophorum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum elassonotum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum evrardii,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum flabellum-veneris,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum frostii,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum hamelini,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum horizontale,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum leandrianum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum lemniscatoides,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum lobbii,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum macranthum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum macrocoleum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum monanthum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum nigrescens,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum occlusum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum occultum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum odoratissimum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum odoratum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum pectenveneris,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum picturatum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum putidum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum refractum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum sigaldiae,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum spathulatum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum sulfureum,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum tixieri,Orchidaceae,Orchidales,Asparagales,
Live,Bulbophyllum tortisepalum,Orchidaceae,Orchidales,Asparagales,
Live,Calanthe cardioglossa,Orchidaceae,Orchidales,Asparagales,
Live,Calanthe densiflora,Orchidaceae,Orchidales,Asparagales,
Live,Calanthe madagascariensis,Orchidaceae,Orchidales,Asparagales,
Live,Calanthe puberula,Orchidaceae,Orchidales,Asparagales,
Live,Calanthe rubens,Orchidaceae,Orchidales,Asparagales,
Live,Calanthe sylvatica,Orchidaceae,Orchidales,Asparagales,
Live,Calanthe triplicata,Orchidaceae,Orchidales,Asparagales,
Live,Calanthe vestita,Orchidaceae,Orchidales,Asparagales,
Live,Campylocentrum micranthum,Orchidaceae,Orchidales,Asparagales,
Live,Campylocentrum pachyrrhizum,Orchidaceae,Orchidales,Asparagales,
Live,Carnegiea gigantea,Cactaceae,Caryophyllales,Caryophyllales,
Live,Catasetum integerrimum,Orchidaceae,Orchidales,Asparagales,
Live,Catasetum tenebrosum,Orchidaceae,Orchidales,Asparagales,
Live,Cattleya bowringiana,Orchidaceae,Orchidales,Asparagales,
Live,Cattleya guatemalensis,Orchidaceae,Orchidales,Asparagales,
Live,Cattleya luteola,Orchidaceae,Orchidales,Asparagales,
Live,Cattleya maxima,Orchidaceae,Orchidales,Asparagales,
Live,Cattleya rex,Orchidaceae,Orchidales,Asparagales,
Live,Caucaea phalaenopsis,Orchidaceae,Orchidales,Asparagales,
Live,Caularthron bilamellatum,Orchidaceae,Orchidales,Asparagales,
Live,Christensonia vietnamica,Orchidaceae,Orchidales,Asparagales,
Live,Chysis aurea,Orchidaceae,Orchidales,Asparagales,
Live,Chysis bractescens,Orchidaceae,Orchidales,Asparagales,
Live,Cibotium barometz,Dicksoniaceae,Dicksoniales,Dicksoniales,
Live,Cleisostoma arietinum,Orchidaceae,Orchidales,Asparagales,
Live,Cleisostoma birmanicum,Orchidaceae,Orchidales,Asparagales,
Live,Cleisostoma filiforme,Orchidaceae,Orchidales,Asparagales,
Live,Cleisostoma inflatum,Orchidaceae,Orchidales,Asparagales,
Live,Cleisostoma tenuifolium,Orchidaceae,Orchidales,Asparagales,
Live,Cochleanthes flabelliformis,Orchidaceae,Orchidales,Asparagales,
Live,Coelia bella,Orchidaceae,Orchidales,Asparagales,
Live,Coelia triptera,Orchidaceae,Orchidales,Asparagales,
Live,Coelogyne assamica,Orchidaceae,Orchidales,Asparagales,
Live,Coelogyne filipeda,Orchidaceae,Orchidales,Asparagales,
Live,Coelogyne fimbriata,Orchidaceae,Orchidales,Asparagales,
